,cell abundance (cells/L) (last letter: S=surface; B=bottom),A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B (a lot of debris),B3B (less debris than A4B),C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S from McManus Lab,E1S,F2S,H4S,I2S,J2S,K2S,"A4B Eutreptiella bloom, a lot of debris",B3B,C1B,"D3B W/o Lugol's added, data not used in analysis",E1B,F2B,H4B,I2B few cells,J2B,K2B,A4S,"B3S w/o lugol's added, but the sample was still good ",C1S,D3S,E1S,F2S,H4S,I2S,J1S,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J1B,K2B,A4S,B3S,C1S,D1S,E1S,F2S,H4S,I2S,J2S,K2S,A4B,B3B,C1B,D1B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2,K2B,A4S (a lot of debris),B3S,C1S,D3S,E1S,F2 S,H4S,I2S (large amount of debris),J2S,K2S,A4B,B3B,C1B,D3B,E1B,F2 B,H4B,I2B,J2B,K2B
,Chattonella spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gonyostomum semen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heterosigma akashiwo,,,,,,,,,,,,,,,44000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicoflagellate,Dictyocha speculum,,,880,,,,,,,,1452,,1452,1452,1452,1452,,,,,1452,,,,,,,,,,,,,,1452,,,,,,,,1452,,,,,,,, ,,,,,2904,,1452,,,,,,,,,,,,,,,1452,,,,,,,1452,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,1452,2904,,,,,,,,,,2904,
,Dictyocha fibula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ebria tripartita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,,,,,,,,,,8800,4400,,,,,,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,1452,,,,,,,,,,,,,,,,,1452
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyramimonadales,Pyramimonas spp.,,,,,,,,,,,,,,,,,,,,,,,,,8800,2904,,,,,,,,,,,,,,,,,,,,,,,,,1584,14652,7304,13200,,1452,,5852,7304,1452,26400,22000,44000,57200,74800,127600,,,13200,,,,,,,,,4400,,1452,52800,,2904,8800,1452,4400,1452,1452,13200,4400,,,,,,,,,13200,1452,8800,,,35200,1452,,13200,,22000,105600,,,,,,1452,,,,,2904,1452,2904,,,,,,,,,1452,,,,,,,,,17600,83600,66000,88000,61600,66000,,,,,1452,,,,,,,,,,4400,,1452,1452,,2904,2904,,,1452,,1452,,1452,,2904,,,,
,Halosphaera spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,5852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptophyte,Hemiselmis spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,1452,1452,,,,1452,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhodomonas spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,,,,,,,,,30800,1452,1452,,,2904,,,2904,,,,,,,,,,,,8800,,,,,,,,4400,4400,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,8800,,,,,,,,,,,,,,,,,,,,,,,,1452,,4400,2904,2904,,,1452,,2904,10252,7304,4400,10252,
,Teleaulax spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17600,4400,4400,6600,15400,11000,,4400,8800,8800,15400,8800,13200,22000,11000,33000,22629,11000,6600,8800,2400,4400,726,4400,4400,4400,2200,2200,2200,2200,13200,2200,4400,11000,2200,2200,6600,4400,2200,,4400,2200,0,2200,,726,0,1452,0,,96800,2904,,132000,,4400,,,8800,1452,2904,5852,1452,1452,,8800,1452,1452,1452,2904,22000,,22000,8800,1452,13200,22000,,7304,5852,,,,,,,4400,,1452,,17600,17600,70400,2904,,8800,1452,8800,,8800,17600,30800,,8800,,8800,,8800,13200,,136400,88000,48400,52800,44000,66000,224400,48400,17600,13200,44000,88000,30800,26400,17600,44000,44000,39600,44000,22000,35200,39600,13200,8800,,1452,2904,13200,2904,1452,22000,35200,8800,17600,13200,7304,2904,13200,,1452
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ochrophyte (diatoms excluded),Ochromonas spp.,8800,,,8800,13200,8800,,8800,13200,17600,13200,8800,8800,26400,4400,,35200,8800,17600,4400,1584000,567600,598400,528000,44000,26400,79200,92400,88000,13200,316800,325600,338800,88000,13200,88000,127600,264000,180400,352000,1188000,1540000,836000,1628000,1716000,660000,1863085.714,748000,792000,484000,144000,88000,132000,220000,57200,57200,,,39600,,44000,132000,44000,44000,88000,66000,88000,,88000,,,17600,8800,,88000,35200,44000,,,8800,466400,220000,61600,308000,79200,44000,88000,,88000,88000,176000,88000,35200,132000,,44000,44000,44000,44000,88000,132000,440000,352000,220000,88000,132000,132000,88000,44000,,528000,132000,132000,13200,88000,44000,44000,132000,184800,88000,44000,132000,44000,13200,,,,,,,44000,,,,,,,,,,44000,,44000,13200,,171600,132000,83600,,,88000,264000,44000,44000,44000,132000,88000,44000,44000,17600,132000,88000,44000,,35200,83600,88000,132000,,4400,66000,39600,22000,8800,22000,44000,13200,35200,26400,13200
,Ochromonas danica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7304,35200,5852,,2904,2904,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88000,132000,44000,44000,,,44000,,,88000,88000,,,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haptophyte,Chrysochromulina polylepis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phaeocystis globosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39600,70400,13200,2904,22629,4400,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000,8800,,,,,,,,,,1452,,,,5852,,,,,,,,,,,,,,,,,,,,,,,,,13200,,,,13200,,,,,,,13200,,,,,8800,,,,,,,,,,,,,,,,,,,,,,44000,,,,,,,,,,,,,,,,,
,Phaeocystis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2904,,,,,,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,unknown haptophytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,14652,,1452,,5852,1452,26400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euglenozoa,Eutreptiella spp. ,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,,,2904,1452,,,1452,,,,,,,,2904,,,,2489,1452,1452,1452,,1452,,1452,,,,,,1452,,,1452,,8800,5852,,,,,,,,,,,,,,,23452000,92400,61600,281600,61600,52800,114400,2904,,1452,,,,,,,,,,,8800,,4400,13200,8800,,1452,1452,2904,2904,,,,,,,,,,,4400,,,,,,,,2904,,,,,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown flagellates,Small flagellates,,,,8800,,8800,8800,8800,2904,2904,4400,,,1452,,,13200,,13200,,,,,,1452,,13200,,,1452,13200,8800,8800,8800,13200,13200,13200,,8800,,308000,,88000,132000,17600,96800,75429,88000,26400,39600,38400,220000,39600,30800,17600,30800,,,44000,13200,,,44000,,22000,39600,17600,,10252,8800,149600,44000,13200,,,4400,,,,8800,,,,,17600,,,,,,,,,,,,,,,,,,88000,,,,,,,,,,,,,,,,,,1452,,,,,,,,,,13200,,,,,,,,,,,,,4400,,,,,13200,,,,44000,,,44000,8800,,,,17600,13200,35200,,,13200,4400,,,,,,,,,,,,,
unknown1,tear drop (Ochromonas?Tetraselmis?)(4x8 um),8800,,,,,,,,,,,,,,,,13200,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,8800,4400,4400,4400,,1452,,4400,,1452,4400,2904,1452,1452,,,,,,,,5852,1452,4400,,1452,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown2,Pear shaped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nanoplankton,"small  cells (2-4um), often stained brown",396000,,220000,308000,528000,220000,264000,528000,264000,176000,264000,572000,484000,528000,35200,440000,1364000,440000,616000,396000,308000,132000,132000,308000,440000,528000,264000,308000,264000,66000,264000,176000,396000,264000,88000,132000,264000,396000,149600,836000,1892000,2244000,2728000,2156000,1804000,1980000,1335085.714,1496000,880000,1760000,2064000,1232000,440000,220000,233200,352000,176000,220000,176000,220000,968000,748000,660000,484000,924000,440000,132000,88000,352000,264000,3784000,1584000,880000,1540000,484000,220000,264000,660000,88000,660000,1408000,440000,132000,352000,440000,440000,748000,528000,440000,264000,1452000,704000,1364000,1584000,528000,792000,484000,704000,352000,264000,5720000,4796000,2288000,1100000,528000,528000,440000,660000,1320000,396000,1056000,1012000,484000,572000,572000,264000,440000,440000,528000,352000,968000,704000,880000,484000,352000,704000,308000,264000,88000,88000,792000,924000,1144000,704000,836000,836000,352000,484000,44000,220000,440000,440000,264000,396000,176000,264000,176000,220000,88000,44000,352000,396000,440000,352000,396000,352000,616000,528000,264000,88000,572000,616000,572000,264000,528000,396000,484000,616000,220000,132000,484000,616000,484000,308000,484000,220000,220000,484000,176000,176000
unknown3,"irregular small dark strain cells (close to a triangle, 2-4um)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
