,cell abundance (cells/L) (last letter: S=surface; B=bottom),A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S NOTE: a lot of debris,I2S NOTE: a lot of debris,J2S ,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S NOTE: little biomass,C1S NOTE: little biomass,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B,B3B,C1B,D3B NOTE: high biomass,E1B NOTE: high biomass ,F2B NOTE: high biomass,H4B NOTE: high biomass,I2B,J2B,K2B,A4S,B3S ,C1S ,D3S ,E1S,F2S,H4S,I2S,J2S,K2S ,A4B NOTE: HIGH BIOMASS,"B3B  NOTE: HIGH BIOMASS, A LOT OF DEBRIS",C1B ,D3B ,"E1B NOTE: HIGH BIOMASS, A LOT OF DEBRIS","F2B NOTE: HIGH BIOMASS, A LOT OF DEBRIS","H4B NOTE: HIGH BIOMASS, A LOT OF DEBRIS",I2B,J2B,K2B ,"A4S NOTE: Leptocylindrus danicus BLOOM, HIGH BIOMASS","B3S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","C1S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","D3S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","E1S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","F2S NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4",H4S,I2S,J2S,K2S,"A4B NOTE: Leptocylindrus danicus BLOOM, HIGH BIOMASS","B3B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","C1B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","D3B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","E1B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4","F2B NOTE: Leptocylindrus danicus BLOOM, LESS THAN A4",H4B,I2B,J2B,K2B,A4S Note: Thalassiosira BLOOM,B3S Note: Thalassiosira BLOOM,C1S Note: Thalassiosira BLOOM,D3S,E1S Note: VERY LOW BIOMASS,F2S Note: VERY LOW BIOMASS,H4S Note: VERY LOW BIOMASS,"I2S Note: FEW PHYTOPLANKTON, A LOT OF CILIATES (LABOEA)",J2S NOTE: VERY LOW BIOMASS,K2S,A4B Note:LARGE AMOUNT OF DEBRIS,B3B Note:LARGE AMOUNT OF DEBRIS,C1B Note: LARGE AMOUNT OF DEBRIS,D3B,E1B FEW CELLS,F2B ,H4B,I2B ,J2B NOTE: VERY LOW BIOMASS,K2B  VERY LOW BIOMASS,A4S  High biomass.,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S A lot of debris,A4B,B3B,C1B,D3B,E1B,F2B,H4B  A lot of debris,I2B A lot of debris,J2B,K2B Few cells,A4S ,B3S ,C1S,D3S ,E1S,F2S  Few cells,H4S  Very little biomass,I2S  Few cells,J2S Few cells,K2S Few cells,A4B  A lot of debris,B3B  A lot of debris,C1B  A lot of debris,D3B  A lot of debris ,E1B  A lot of debris ,F2B,H4B,I2B,J2B,K2B,A4S,B3S  Prorocentrum triestinum bloom ,C1S,D3S,E1S,F2S  Few cells,H4S  Few cells,I2S  Few cells,J2S  A lot debris,K2S,A4B,B3B,C1B  Lots of debris,D3B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S,A4B  Lots of debris,B3B,C1B,D1B,E1B,F2B,H4B,I2B,J2B,K2B,A4S,B3S,C1S,D3S,E1S,F2S,H4S,I2S,J2S,K2S Few cells,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B,K2B Few cells,A4S ,B3S,C1S,D3S,E1S,F2S few cells,H4S few cells,I2S Lots of debris,J2S Lots of debris,K2S,A4B,B3B,C1B,D3B,E1B,F2B,H4B,I2B,J2B Lots of debris,K2B Few cells
Cryptophyte,Hemiselmis spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhodomonas spp.,,,17600,,,,,1452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800,,,,4400,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66000,22000,8800,13200,52800,13200,48400,8800,,4400,13200,22000,,,,,13200,4400,8800,,17600,,,4400,,,,,1452,8800,,,,,,,8800,,4400,13200,8800,13200,,8800,17600,,,,1452,,,5720,11440,,,,,,1888,,13200,17600,22000,44000,,,,,,,,,,,,,,,,,,,,,8800,,,1452,,4400,,,,,,,,,,,8800,1452,,,,,,,8800,,,,8800,8800,,,1452,1452,4400,
,Teleaulax spp.,4400,8800,,8800,4400,4400,4400,13200,5852,10252,8800,8800,,13200,,4400,8800,4400,17600,8800,8800,22000,8800,,48400,22000,13200,4400,13200,,17600,17600,48400,22000,22000,13200,4400,,4400,8800,30800,44000,,8800,57200,8800,,,,,66000,8800,,110000,22000,1452,17600,4400,,8800,70400,48400,8800,13200,13200,4400,1452,1452,8800,4400,132000,88000,26400,8800,44000,30800,22000,66000,4400,8800,22000,26400,8800,,13200,26400,4400,17600,8800,8800,13200,8800,4400,8800,8800,,,8800,4400,,39600,132000,176000,,,66000,,,1452,,30800,1452,88000,8800,1452,8800,13200,,22000,,52800,22000,211200,101200,145200,22000,30800,44000,22000,26400,92400,52800,17600,22000,17600,44000,,92400,48400,8800,30800,,,,110000,17600,17600,61600,57200,13200,39600,8800,,,4400,8800,,26400,48400,,101200,,88000,44000,96800,13200,,,4400,4400,,45760,22880,22880,,22880,,,,,180400,440000,290400,123200,,,13200,91520,17160,,57200,39600,22000,8800,,30800,,39600,8800,,13200,92400,44000,30800,17600,22000,22000,74800,8800,4400,132000,35200,79200,30800,,26400,,48400,,4400,8800,13200,13200,8800,30800,13200,8800,8800,8800,22000,44000,30800,35200,13200,13200,,4400,8800,8800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ochrophyte (diatoms excluded),Ochromonas spp.,44000,,22000,22000,44000,26400,26400,,26400,17600,30800,35200,92400,48400,30800,30800,39600,,,,,8800,13200,88000,,88000,44000,8800,132000,,132000,88000,,44000,132000,88000,88000,,,,,,,,44000,,35200,88000,26400,8800,,44000,44000,88000,,88000,,,44000,44000,,,13200,17600,,44000,8800,,,22000,17600,,,,,,88000,44000,44000,26400,264000,132000,154000,110000,66000,308000,268400,83600,158400,189200,88000,66000,44000,44000,44000,176000,88000,44000,110000,39600,44000,264000,264000,264000,264000,660000,88000,220000,171600,105600,704000,1232000,616000,352000,396000,704000,44000,176000,264000,88000,35200,132000,66000,88000,88000,352000,35200,,44000,,8800,88000,44000,44000,8800,88000,132000,176000,,,88000,176000,88000,44000,,,44000,,,,44000,132000,22000,,22000,22000,88000,,,,88000,308000,220000,176000,,44000,,13200,8800,,,,,171600,57200,,,28600,,,308000,132000,74800,,,22000,13200,28600,,,,13200,132000,88000,22000,88000,,,,,,,88000,44000,,,22000,22000,8800,,,,,22000,,,,,,,44000,,44000,44000,22000,,,,,,,,35200,8800,,,,,,
,Ochromonas danica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35200,,,,,,,,,,,,,,,22000,,88000,,,,44000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13200,,,,,,,,,22000,,,,,,,,,,,,,,,,,132000,,,,,,,,,,,264000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haptophyte,Chrysochromulina polylepis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,8800,,,,,17600,4400,,,13200,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phaeocystis globosa,,,,,,,,88000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17600,,,,,1452,,,4400,,,17600,,,8800,,39600,,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17600,4400,,,13200,8800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88000,,,,,,,,,,,,,,,,,,,22000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phaeocystis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,4400,,,17600,,,,4400,,,,,,,4400,,,,,,,,,,,,,,,,,,,,17600,,,,,,,,,,,,,,,,8800,,,,,,88000,,,,,,,,,,,,,13200,,,,,,,,,,,,,,,,,,,,,,,,,,,26400,74800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,unknown haptophytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000,,,,,,,,,,,,,,,,,,,110000,,,,,,,,,,,,,,,,,,,96800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euglenozoa,Eutreptiella spp. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4400,,,,,8800,,,,,,,,,,,8800,1452,,,,,,,,30800,,,,8800,17600,,,,,,,,,,,,,,,74800,387200,74800,61600,26400,4400,4400,4400,22000,8800,,8800,8800,,,,,,8800,,4400,83600,,,,,,,,,,,,,,,,,,,4400,35200,8800,8800,4400,,,5720,,,,,,,,,,,,,,,,1452,,,,,2904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown flagellates,Small flagellates,,4400,,,,,,,,1452,,,,,,,,,,,,,,,,,,,,,,8800,8800,4400,,,,,,,17600,4400,4400,4400,,,,,,,,,,,,,,,,,,30800,57200,83600,8800,22000,,,,8800,8800,44000,13200,17600,13200,30800,13200,,,,,,,,,30800,,,,22000,,,,,,,,44000,,,176000,44000,264000,132000,,17600,176000,,48400,17600,88000,220000,44000,88000,22000,88000,132000,88000,17600,8800,8800,44000,30800,,17600,17600,61600,70400,17600,22000,,22000,8800,4400,,,44000,22000,,,396000,44000,44000,,8800,,44000,13200,13200,,,,,4400,,,,8800,4400,,,88000,30800,,13200,,,,,,,34320,11440,,,,,,,5720,88000,264000,176000,88000,22000,,,,,,88000,,13200,,,44000,,,,8800,,44000,,,,22000,,,,,,13200,,13200,4400,26400,22000,22000,,,,,,,,,,17600,44000,,,39600,13200,,,22000,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown1,tear drop (Ochromonas?Tetraselmis?)(4x8 um),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown2,Pear shaped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nanoplankton,"small  cells (2-4um), often stained brown",88000,220000,176000,176000,176000,132000,264000,264000,220000,132000,264000,132000,308000,308000,528000,176000,220000,308000,132000,220000,352000,572000,220000,176000,132000,396000,264000,1540000,396000,396000,1320000,660000,880000,704000,616000,1012000,792000,704000,1012000,484000,176000,528000,176000,440000,352000,308000,264000,264000,220000,88000,176000,440000,352000,924000,440000,396000,792000,748000,396000,220000,440000,176000,132000,176000,176000,308000,88000,88000,132000,132000,704000,616000,176000,264000,440000,484000,308000,220000,176000,132000,704000,792000,1430000,352000,352000,660000,92400,92400,250800,237600,748000,616000,396000,176000,176000,220000,308000,220000,369600,44000,2816000,2596000,2992000,2200000,616000,1144000,1496000,704000,308000,88000,1188000,1100000,2332000,572000,220000,660000,484000,484000,132000,176000,484000,968000,660000,1144000,704000,660000,704000,528000,924000,308000,1496000,704000,1100000,1804000,1144000,616000,2464000,4444000,836000,220000,2156000,1144000,1144000,660000,660000,660000,1056000,616000,484000,352000,1012000,2684000,1540000,1496000,1408000,1056000,1056000,924000,220000,308000,5060000,7524000,4664000,2244000,2464000,1144000,572000,220000,396000,352000,,2059200,2173600,1029600,457600,1887600,1372800,457600,400400,343200,1584000,1760000,748000,396000,132000,1056000,308000,800800,171600,44000,1364000,1100000,924000,660000,176000,484000,220000,308000,176000,88000,176000,396000,264000,220000,264000,176000,308000,176000,176000,44000,308000,572000,616000,264000,704000,528000,572000,352000,176000,35200,220000,792000,528000,220000,220000,132000,132000,264000,396000,44000,220000,440000,528000,176000,220000,308000,308000,220000,264000,88000
unknown3,"irregular small dark strain cells (close to a triangle, 2-4um)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
